url	orgao
https://www.macapa.ap.leg.br/transparencia	Portal da Transparência da Câmara Municipal de Macapá
https://www.gove.digital/dados-abertos/#/macapa-ap/geral	Dados na plataforma Gove do Município Macapá
https://www.transparencia.net.br/portal/1350/info	Portal da Transparência da Prefeitura do Município de Mazagão
https://www.transparencia.net.br/portal/1353/info	Portal da Transparência da Câmara Municipal de Mazagão
https://www.transparencia.net.br/portal/810/info	Portal da Transparência da Prefeitura do Município de Oiapoque
https://www.oiapoque.ap.leg.br/transparencia	Portal da Transparência da Câmara Municipal de Oiapoque
http://amapari.brasiltransparente.net/transparencia/	Portal da Transparência da Prefeitura do Município de Pedra Branca do Amapari
http://portogrande.brasiltransparente.net/transparencia/	Portal da Transparência da Prefeitura do Município de Porto Grande
http://camaraporto.brasiltransparente.net/transparencia/	Portal da Transparência da Câmara Municipal de Porto Grande
https://www.transparencia.net.br/portal/1357/info	Portal da Transparência da Prefeitura do Município de Pracuúba
https://www.transparencia.net.br/portal/1354/info	Portal da Transparência da Câmara Municipal de Pracuúba
https://santana.ap.gov.br/portal-da-transparencia/	Portal da Transparência da Prefeitura do Município de Santana
https://santana.ap.leg.br/transparencia	Portal da Transparência da Câmara Municipal de Santana
http://serradonavio.brasiltransparente.net/transparencia/	Portal da Transparência da Prefeitura do Município de Serra do Navio
http://tartarugalzinho.brasiltransparente.net/transparencia/	Portal da Transparência da Prefeitura do Município de Tartarugalzinho
https://www.vitoriadojari.ap.gov.br/portal-transparencia	Portal da Transparência da Prefeitura do Município de Vitória do Jari
https://www.cmvitoriadojari.ap.gov.br/acesso-a-informacao/	Portal da Transparência da Câmara Municipal de Vitória do Jari
https://transparenciamunicipalaam.org.br/	Prefeitura Municipal de Alvarães
http://www.amatura.am.gov.br/109/Transparencia/	Prefeitura Municipal de Amaturá
https://transparenciamunicipalaam.org.br/	Prefeitura Municipal de Anamã
https://transparenciamunicipalaam.org.br/	Prefeitura Municipal de Anori
https://transparenciamunicipalaam.org.br/	Prefeitura Municipal de Apuí
https://transparenciamunicipalaam.org.br/	Prefeitura Municipal de Atalaia do Norte
http://servicos.autazes.am.gov.br/portaltransparencia/	Prefeitura Municipal de Autazes
https://transparenciamunicipalaam.org.br/	Prefeitura Municipal de Barcelos
https://transparenciamunicipalaam.org.br/	Prefeitura Municipal de Barreirinha
https://transparenciamunicipalaam.org.br/	Prefeitura Municipal de Benjamin Constant
https://transparenciamunicipalaam.org.br/	Prefeitura Municipal de Beruri
